user_id,converted,cnt_checkout_started,cnt_course_detail_viewed,cnt_course_searched,cnt_lesson_completed,cnt_lesson_started,cnt_page_viewed,cnt_plan_selected,cnt_pricing_page_viewed,cnt_quiz_submitted,cnt_session_started,cnt_subscribe,total_study_minutes,avg_session_minutes,session_count,done_checkout_started,done_lesson_completed,done_onboarding_completed,done_plan_selected,done_quiz_submitted,done_subscribe
U-05015,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.75,2.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05016,0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,17.0,5.666666666666667,3.0,0.0,1.0,0.0,1.0,0.0,0.0
U-05017,0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,0.0,37.36666666666667,9.341666666666667,4.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05018,1,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,17.21666666666667,8.608333333333334,2.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05019,0,1.0,2.0,2.0,6.0,6.0,7.0,1.0,3.0,0.0,7.0,0.0,58.56666666666667,8.366666666666667,7.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05020,0,0.0,2.0,0.0,4.0,4.0,6.0,0.0,4.0,0.0,5.0,0.0,35.3,7.06,5.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05021,0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,19.666666666666664,6.5555555555555545,3.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05022,1,1.0,4.0,1.0,2.0,3.0,7.0,1.0,1.0,0.0,5.0,0.0,36.983333333333334,7.3966666666666665,5.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05024,0,0.0,3.0,0.0,3.0,3.0,5.0,0.0,1.0,0.0,5.0,0.0,33.016666666666666,8.254166666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05025,1,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,15.05,7.525,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05026,1,0.0,2.0,2.0,4.0,4.0,9.0,1.0,2.0,0.0,5.0,0.0,42.083333333333336,8.416666666666668,5.0,0.0,1.0,0.0,1.0,0.0,0.0
U-05027,1,0.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,27.75,9.25,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05028,0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.333333333333334,9.333333333333334,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05029,1,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,14.466666666666667,7.233333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05030,1,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,15.716666666666667,5.238888888888889,3.0,0.0,1.0,0.0,0.0,1.0,0.0
U-05031,0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,8.55,4.275,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05032,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,9.666666666666666,4.833333333333333,2.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05033,0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,11.016666666666666,5.508333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05034,0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,22.15,7.383333333333333,3.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05035,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05036,1,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,13.3,6.65,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05037,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.55,3.55,1.0,0.0,0.0,1.0,1.0,0.0,0.0
U-05038,0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,12.616666666666667,6.308333333333334,2.0,0.0,1.0,0.0,0.0,1.0,0.0
U-05039,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6,2.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05040,0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,12.766666666666666,3.1916666666666664,4.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05041,1,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,29.6,9.866666666666667,3.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05042,1,0.0,2.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,0.0,24.133333333333333,8.044444444444444,3.0,0.0,1.0,0.0,1.0,0.0,0.0
U-05043,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05044,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.133333333333333,10.133333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05045,0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,13.299999999999999,4.433333333333333,3.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05046,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,11.666666666666666,11.666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0
U-05047,1,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,14.233333333333333,14.233333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05048,0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,16.633333333333333,5.544444444444444,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05049,0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,13.566666666666666,6.783333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05050,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05051,0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,17.1,8.55,2.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05052,1,1.0,3.0,2.0,8.0,8.0,10.0,1.0,3.0,0.0,8.0,0.0,52.083333333333336,7.440476190476191,7.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05053,0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,11.533333333333333,11.533333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05054,1,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,18.666666666666664,9.333333333333332,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05055,0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,4.783333333333333,4.783333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05056,0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,24.56666666666667,8.18888888888889,3.0,1.0,0.0,0.0,1.0,0.0,0.0
U-05057,1,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.25,5.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05058,0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,24.35,6.0875,4.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05059,1,1.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,29.683333333333334,14.841666666666667,2.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05060,0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,6.0,0.0,31.166666666666664,5.194444444444444,6.0,0.0,0.0,0.0,1.0,0.0,0.0
U-05061,0,0.0,2.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,27.28333333333333,6.820833333333333,4.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05062,1,0.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,17.883333333333333,5.961111111111111,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05063,0,0.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,19.533333333333335,6.511111111111112,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05064,1,0.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,0.0,5.0,0.0,40.583333333333336,8.116666666666667,5.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05065,1,0.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,21.96666666666667,10.983333333333334,2.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05066,1,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.783333333333333,11.783333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05067,0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,4.0,0.0,28.416666666666668,7.104166666666667,4.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05068,0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,13.916666666666666,6.958333333333333,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05069,0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,17.6,8.8,2.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05070,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05071,0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,17.733333333333334,8.866666666666667,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05072,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.933333333333334,5.933333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05073,0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,0.0,4.0,0.0,40.1,10.025,4.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05074,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.716666666666667,8.716666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05075,1,1.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0,30.133333333333333,10.044444444444444,3.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05076,0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,15.916666666666666,15.916666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05077,0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,9.5,9.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05078,0,1.0,2.0,3.0,4.0,4.0,6.0,1.0,1.0,1.0,5.0,0.0,36.166666666666664,7.2333333333333325,5.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05079,0,2.0,1.0,1.0,5.0,6.0,15.0,3.0,4.0,0.0,6.0,0.0,69.2,11.533333333333333,6.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05080,1,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,12.9,6.45,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05081,1,0.0,3.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,0.0,23.95,5.9875,4.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05082,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.6,5.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05083,0,0.0,1.0,3.0,2.0,2.0,11.0,0.0,2.0,0.0,6.0,0.0,44.21666666666667,7.3694444444444445,6.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05084,0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,17.5,8.75,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05085,1,1.0,1.0,2.0,4.0,4.0,6.0,2.0,4.0,1.0,5.0,0.0,46.31666666666666,9.263333333333332,5.0,1.0,1.0,0.0,1.0,1.0,0.0
U-05086,1,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,7.116666666666667,3.5583333333333336,2.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05087,0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0,26.166666666666668,6.541666666666667,4.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05088,1,1.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,0.0,4.0,0.0,30.75,7.6875,4.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05089,1,0.0,1.0,2.0,2.0,2.0,9.0,1.0,3.0,0.0,4.0,0.0,42.6,10.65,4.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05090,0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,32.85,10.950000000000001,3.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05091,0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,15.25,7.625,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05092,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.25,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05093,0,0.0,2.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,27.5,6.875,4.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05094,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,15.333333333333334,15.333333333333334,1.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05095,0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,13.033333333333335,6.5166666666666675,2.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05097,0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,14.916666666666666,7.458333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05098,0,0.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,3.0,0.0,26.5,8.833333333333334,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05099,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,10.316666666666666,5.158333333333333,2.0,0.0,0.0,1.0,1.0,0.0,0.0
U-05100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05101,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,2.0,0.0,7.0,0.0,40.61666666666667,5.802380952380952,7.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05102,1,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.683333333333334,4.683333333333334,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05103,1,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,13.883333333333333,6.941666666666666,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05104,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.583333333333334,3.291666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05105,0,0.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,3.0,0.0,19.46666666666667,9.733333333333334,2.0,0.0,1.0,1.0,1.0,1.0,0.0
U-05106,0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,26.616666666666667,8.872222222222222,3.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05107,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.433333333333333,2.433333333333333,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05108,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.183333333333334,9.183333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05109,0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,20.833333333333336,10.416666666666668,2.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05110,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05111,0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,12.216666666666667,12.216666666666667,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05112,0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,0.0,30.416666666666668,6.083333333333334,5.0,1.0,0.0,1.0,1.0,0.0,0.0
U-05113,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.233333333333333,6.233333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05114,1,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,17.416666666666668,5.805555555555556,3.0,0.0,0.0,0.0,1.0,0.0,0.0
U-05115,0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.016666666666667,6.016666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05116,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.983333333333333,4.983333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05117,0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,11.916666666666668,5.958333333333334,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05118,1,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,23.966666666666665,7.988888888888888,3.0,0.0,1.0,0.0,1.0,0.0,0.0
U-05119,1,0.0,3.0,0.0,3.0,4.0,7.0,1.0,1.0,1.0,5.0,0.0,27.333333333333332,6.833333333333333,4.0,0.0,1.0,1.0,1.0,1.0,0.0
U-05120,0,2.0,3.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,5.0,0.0,36.96666666666667,7.3933333333333335,5.0,1.0,0.0,1.0,1.0,0.0,0.0
U-05121,0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,26.666666666666664,6.666666666666666,4.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05122,0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,14.649999999999999,7.324999999999999,2.0,0.0,0.0,0.0,1.0,0.0,0.0
U-05123,0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,4.0,0.0,27.950000000000003,6.987500000000001,4.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05125,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U-05126,0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,2.0,0.0,28.933333333333334,14.466666666666667,2.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05127,0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,4.0,0.0,4.0,0.0,28.333333333333336,7.083333333333334,4.0,0.0,1.0,1.0,1.0,0.0,0.0
U-05128,0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,11.816666666666666,5.908333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05129,0,2.0,3.0,1.0,5.0,5.0,9.0,3.0,4.0,0.0,6.0,0.0,39.95,7.99,5.0,1.0,1.0,0.0,1.0,0.0,0.0
U-05130,0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,17.666666666666668,8.833333333333334,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05131,1,0.0,2.0,1.0,3.0,3.0,7.0,0.0,2.0,1.0,4.0,0.0,36.416666666666664,9.104166666666666,4.0,0.0,1.0,0.0,0.0,1.0,0.0
U-05132,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.35,8.35,1.0,0.0,1.0,0.0,0.0,1.0,0.0
U-05133,0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,26.333333333333332,13.166666666666666,2.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05134,1,1.0,0.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0,3.0,0.0,29.71666666666667,9.905555555555557,3.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05135,1,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,29.599999999999998,9.866666666666665,3.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05136,0,2.0,1.0,0.0,4.0,4.0,7.0,2.0,2.0,0.0,3.0,0.0,41.266666666666666,13.755555555555555,3.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05137,0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,12.316666666666666,6.158333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05138,0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,19.433333333333334,6.477777777777778,3.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05139,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.433333333333334,6.433333333333334,1.0,0.0,1.0,0.0,0.0,0.0,1.0
U-05140,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.466666666666667,10.466666666666667,1.0,1.0,0.0,1.0,1.0,0.0,0.0
U-05141,0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,13.383333333333333,6.691666666666666,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05142,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05143,0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,21.6,10.8,2.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05144,1,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.016666666666667,8.016666666666667,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05145,1,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,10.583333333333334,5.291666666666667,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05146,1,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.433333333333334,3.216666666666667,2.0,0.0,0.0,1.0,0.0,0.0,0.0
